school,DBN,district,lat,long,address,City,zip,commSchool,eni,income,pctELL,pctAsian,pctBlack,pctHispanic,pctBlackHispanic,pctWhite,pctAttend,pctAbsentChronic,pctRigor,ratingRigor,pctCollab,ratingCollab,pctSupp,ratingSupp,pctLeader,ratingLeader,pctCommunity,ratingCommunity,pctTrust,ratingTrust,Student Achievement Rating,avgELA,avgMath,elaAll,elaAll4,elaBlack,elaHispanic,elaAsian,elaWhite,mathAll,mathAll4,mathBlack,mathHispanic,mathAsian,mathWhite,enroll,registered,took,regPct,tookPct,yield,academicScore,quantRigor,quantCollab,quantSupp,quantLeader,quantCommunity,quantTrust,pctELA4,pctELABlack,pctELAHispanic,pctELAAsian,pctELAWhite,pctMath4,pctMathBlack,pctMathHispanic,pctMathAsian,pctMathWhite,URM4
P.S. 015 ROBERTO CLEMENTE,01M015,1,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009",NEW YORK,10009,Yes,0.919,31141.72,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,Meeting Target,0.94,Meeting Target,0.86,Exceeding Target,0.91,Exceeding Target,0.85,Meeting Target,0.94,Exceeding Target,Approaching Target,2.14,2.17,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.3100000000000005,3,3,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 019 ASHER LEVY,01M019,1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,No,0.641,56462.88,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,N/A,0.96,N/A,0.97,N/A,0.9,Exceeding Target,0.86,Meeting Target,0.94,Meeting Target,Exceeding Target,2.63,2.98,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.609999999999999,0,0,0,4,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 020 ANNA SILVER,01M020,1,40.721274,-73.986315,"166 ESSEX ST NEW YORK, NY 10002",NEW YORK,10002,No,0.744,44342.61,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,Meeting Target,0.77,Meeting Target,0.82,Approaching Target,0.61,Not Meeting Target,0.8,Approaching Target,0.79,Not Meeting Target,Approaching Target,2.39,2.54,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.93,3,3,2,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 034 FRANKLIN D. ROOSEVELT,01M034,1,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.86,31454,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,Approaching Target,0.78,Meeting Target,0.82,Meeting Target,0.73,Approaching Target,0.89,Meeting Target,0.88,Meeting Target,Exceeding Target,2.48,2.47,47,1,0,0,0,0,48,1,0,0,0,0,NA,NA,NA,NA,NA,NA,4.95,2,3,3,2,3,3,0.02127659574468085,0,0,0,0,1,0,0,0,0,0
THE STAR ACADEMY - P.S.63,01M063,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,No,0.73,46435.59,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,Meeting Target,0.88,Meeting Target,0.87,Meeting Target,0.81,Meeting Target,0.89,Meeting Target,0.93,Meeting Target,Meeting Target,2.38,2.54,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.92,3,3,3,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 064 ROBERT SIMON,01M064,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,No,0.858,39415.45,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,Meeting Target,0.99,Exceeding Target,0.95,Exceeding Target,0.91,Exceeding Target,0.88,Meeting Target,0.97,Exceeding Target,Meeting Target,2.29,2.48,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.77,3,4,4,4,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 110 FLORENCE NIGHTINGALE,01M110,1,40.715293,-73.979927,"285 DELANCEY ST NEW YORK, NY 10002",NEW YORK,10002,No,0.499,43706.73,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,Exceeding Target,0.78,Meeting Target,0.95,Exceeding Target,0.69,Approaching Target,0.87,Meeting Target,0.78,Not Meeting Target,Exceeding Target,2.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,4,3,4,2,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 134 HENRIETTA SZOLD,01M134,1,40.714301,-73.982966,"293 E BROADWAY NEW YORK, NY 10002",NEW YORK,10002,No,0.833,28820.67,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,Approaching Target,0.89,Meeting Target,0.88,Approaching Target,0.88,Meeting Target,0.79,Approaching Target,0.94,Exceeding Target,Meeting Target,2.28,2.73,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.01,2,3,2,3,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 140 NATHAN STRAUS,01M140,1,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",NEW YORK,10002,No,0.849,34889.24,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,Meeting Target,0.91,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.93,Meeting Target,Meeting Target,2.21,2.27,61,3,0,1,0,0,61,2,0,1,0,0,NA,NA,NA,NA,NA,NA,4.48,3,2,3,3,3,3,0.04918032786885246,0,0.3333333333333333,0,0,1,0,0.5,0,0,2
P.S. 142 AMALIA CASTRO,01M142,1,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002",NEW YORK,10002,No,0.861,35545.1,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,Meeting Target,0.89,Meeting Target,0.9,Meeting Target,0.83,Meeting Target,0.89,Meeting Target,0.95,Exceeding Target,Meeting Target,2.16,2.31,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.470000000000001,3,3,3,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
P.S. 184M SHUANG WEN,01M184,1,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002,No,0.559,40809.9,0.17,0.71,0.04,0.12,0.15,0.09,0.98,0.02,0.9,N/A,0.81,N/A,0.91,N/A,0.67,Not Meeting Target,0.83,Approaching Target,0.85,Approaching Target,Exceeding Target,3.24,3.63,46,23,0,0,19,0,48,28,0,0,25,0,NA,NA,NA,NA,NA,NA,6.87,0,0,0,1,2,2,0.5,0,0,0.8260869565217391,0,1,0,0,0.8928571428571429,0,0
P.S. 188 THE ISLAND SCHOOL,01M188,1,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",NEW YORK,10002,Yes,0.917,27881.59,0.16,0.02,0.3,0.64,0.93,0.04,0.91,0.37,1,Meeting Target,1,Exceeding Target,0.99,Meeting Target,0.99,Exceeding Target,0.92,Exceeding Target,0.99,Exceeding Target,Meeting Target,2.17,2.32,50,0,0,0,0,0,50,3,0,3,0,0,NA,NA,NA,NA,NA,NA,4.49,3,4,3,4,4,4,0,NaN,NaN,NaN,NaN,1,0,1,0,0,3
ORCHARD COLLEGIATE ACADEMY,01M292,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,Yes,0.832,NA,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,Not Meeting Target,0.77,Approaching Target,0.77,Approaching Target,0.72,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,Approaching Target,1.96,1.83,10,0,0,0,0,0,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3.79,1,2,2,2,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",01M301,1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,No,0.791,NA,0.06,0.08,0.29,0.55,0.84,0.04,0.9,0.35,0.84,Approaching Target,0.78,Approaching Target,0.81,Approaching Target,0.8,Approaching Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.29,2,48,3,0,1,0,0,47,1,0,0,0,0,NA,NA,NA,NA,NA,NA,4.29,2,2,2,2,2,2,0.0625,0,0.3333333333333333,0,0,1,0,0,0,0,1
